Component,Covariate,ID,S1,S2,S3,S4,TopScale
PLSel,ag_,beta_SC_PLSel,0,0,10000,0,3
PLSel,dev_,beta_SC_PLSel,10000,0,0,0,1
PLSel,shrub_,beta_SC_PLSel,10000,0,0,0,1
PLSel,hrb_,beta_SC_PLSel,10000,0,0,0,1
PLSel,BA_,beta_SC_PLSel,10000,0,0,0,1
PLSel,HT_,beta_SC_PLSel,10000,0,0,0,1
PLSel,SW_,beta_SC_PLSel,10000,0,0,0,1
PLSel,D2Edg_,beta_SC_PLSel,0,10000,0,0,2
PLSel,D2Rd_,beta_SC_PLSel,10000,0,0,0,1
PLSel,D2Rp_,beta_SC_PLSel,0,10000,0,0,2
LSel,ag_,beta_SC_LSel,10000,0,0,0,1
LSel,dev_,beta_SC_LSel,0,0,0,10000,4
LSel,shrub_,beta_SC_LSel,0,0,0,10000,4
LSel,hrb_,beta_SC_LSel,10000,0,0,0,1
LSel,BA_,beta_SC_LSel,10000,0,0,0,1
LSel,HT_,beta_SC_LSel,10000,0,0,0,1
LSel,SW_,beta_SC_LSel,0,0,10000,0,3
LSel,D2Edg_,beta_SC_LSel,0,10000,0,0,2
LSel,D2Rd_,beta_SC_LSel,2352,1,13,7634,4
LSel,D2Rp_,beta_SC_LSel,2643,4,5933,1420,3
NSel,ag_,beta_SC_NSel,1635,1692,1740,4933,4
NSel,dev_,beta_SC_NSel,2927,3183,2557,1333,2
NSel,shrub_,beta_SC_NSel,2560,3420,2287,1733,2
NSel,hrb_,beta_SC_NSel,1296,1136,1412,6156,4
NSel,BA_,beta_SC_NSel,6541,1046,508,1905,1
NSel,HT_,beta_SC_NSel,4187,2065,1080,2668,1
NSel,SW_,beta_SC_NSel,1684,1772,1707,4837,4
NSel,D2Edg_,beta_SC_NSel,290,174,147,9389,4
NSel,D2Rd_,beta_SC_NSel,2779,2639,2362,2220,1
NSel,D2Rp_,beta_SC_NSel,2370,2426,2633,2571,3
NDSR,ag_,,2491,5109,647,1753,3
HDSR,ag_,,2521,2468,2529,2482,3
NDSR,dev_,,571,584,780,8065,4
HDSR,dev_,,2481,2478,2585,2456,3
NDSR,shrub_,,2305,6658,661,376,2
HDSR,shrub_,,2393,2458,2565,2584,4
NDSR,hrb_,,707,242,461,8590,4
HDSR,hrb_,,2475,2542,2396,2587,4
NDSR,BA_,,2145,2007,2500,3348,4
HDSR,BA_,,2459,2516,2548,2477,3
NDSR,HT_,,2865,2259,2284,2592,1
HDSR,HT_,,2509,2521,2476,2494,2
NDSR,SW_,,3925,2452,1700,1923,1
HDSR,SW_,,2509,2455,2581,2455,3
NDSR,D2Edg_,,2194,4565,1502,1739,2
HDSR,D2Edg_,,2492,2473,2532,2503,3
NDSR,D2Rd_,,2537,4140,2081,1242,1
HDSR,D2Rd_,,2599,2465,2445,2491,1
NDSR,D2Rp_,,169,3116,5538,1177,3
HDSR,D2Rp_,,2427,2509,2532,2532,3.5
