Component,Covariate,Scale,CovArea
HDSR,ag_,2,1
HDSR,dev_,3,2
HDSR,shrub_,4,3
HDSR,hrb_,3,4
HDSR,BA_,1,5
HDSR,HT_,1,6
HDSR,SW_,4,7
HDSR,D2Edg_,4,8
HDSR,D2Rd_,3,9
HDSR,D2Rp_,3,10
L,ag_,3,1
L,dev_,3,2
L,shrub_,1,3
L,hrb_,4,4
L,BA_,1,5
L,HT_,3,6
L,SW_,2,7
L,D2Edg_,4,8
L,D2Rd_,3,9
L,D2Rp_,1,10
N,ag_,1,1
N,dev_,1,2
N,shrub_,1,3
N,hrb_,4,4
N,BA_,1,5
N,HT_,1,6
N,SW_,1,7
N,D2Edg_,4,8
N,D2Rd_,1,9
N,D2Rp_,2,10
NDSR,ag_,2,1
NDSR,dev_,4,2
NDSR,shrub_,2,3
NDSR,hrb_,4,4
NDSR,BA_,4,5
NDSR,HT_,1,6
NDSR,SW_,1,7
NDSR,D2Edg_,2,8
NDSR,D2Rd_,2,9
NDSR,D2Rp_,3,10
PL,ag_,4,1
PL,dev_,1,2
PL,shrub_,1,3
PL,hrb_,1,4
PL,BA_,1,5
PL,HT_,1,6
PL,SW_,1,7
PL,D2Edg_,2,8
PL,D2Rd_,1,9
PL,D2Rp_,1,10
