Component,Covariate,WAIC
PLSel,hrb_,119430.5466
PLSel,D2Rd_,121411.7413
PLSel,HT_,123285.645
PLSel,BA_,124339.7303
PLSel,D2Rp_,124955.2952
PLSel,D2Edg_,125226.6025
PLSel,shrub_,125495.1424
PLSel,SW_,126119.9401
PLSel,dev_,126860.4377
PLSel,ag_,126940.626
LSel,D2Edg_,96404.19381
LSel,BA_,96707.5914
LSel,SW_,96862.57864
LSel,ag_,97020.61791
LSel,hrb_,97043.65873
LSel,dev_,97044.23407
LSel,D2Rd_,97047.9168
LSel,shrub_,97048.76579
LSel,HT_,97056.30696
LSel,D2Rp_,97107.84862
NSel,D2Edg_,469.6573401
NSel,BA_,473.4278174
NSel,dev_,474.9574607
NSel,HT_,475.1183308
NSel,hrb_,475.5695799
NSel,SW_,475.9213939
NSel,D2Rd_,476.0392958
NSel,ag_,476.3131145
NSel,D2Rp_,476.5801143
NSel,shrub_,476.6888249
NDSR,D2Rp_,788.0890438
NDSR,hrb_,789.2494165
NDSR,D2Rd_,790.3545033
NDSR,shrub_,790.3978484
NDSR,SW_,791.1847359
NDSR,ag_,791.6642463
NDSR,D2Edg_,792.3944693
NDSR,dev_,792.5503368
NDSR,HT_,793.3373632
NDSR,BA_,793.5170381
