Component,Covariate,S1,S2,S3,S4,TopScale
HDSR,ag_,2479,2624,2394,2503,2
HDSR,BA_,2558,2444,2518,2480,1
HDSR,D2Edg_,2510,2489,2476,2525,4
HDSR,D2Rd_,2491,2489,2563,2457,3
HDSR,D2Rp_,2523,2461,2537,2479,3
HDSR,dev_,2472,2470,2564,2494,3
HDSR,hrb_,2444,2457,2591,2508,3
HDSR,HT_,2578,2516,2467,2439,1
HDSR,shrub_,2513,2516,2440,2531,4
HDSR,SW_,2457,2422,2548,2573,4
LSel,ag_,0,0,10000,0,3
LSel,BA_,10000,0,0,0,1
LSel,D2Edg_,0,0,0,10000,4
LSel,D2Rd_,523,1100,4430,3947,3
LSel,D2Rp_,10000,0,0,0,1
LSel,dev_,0,0,10000,0,3
LSel,hrb_,0,0,0,10000,4
LSel,HT_,0,1,9999,0,3
LSel,shrub_,10000,0,0,0,1
LSel,SW_,0,10000,0,0,2
NDSR,ag_,2295,4849,656,2200,2
NDSR,BA_,2072,1968,2567,3393,4
NDSR,D2Edg_,2153,4649,1524,1674,2
NDSR,D2Rd_,2467,4479,1908,1146,2
NDSR,D2Rp_,206,2979,5604,1211,3
NDSR,dev_,660,737,790,7813,4
NDSR,hrb_,218,79,124,9579,4
NDSR,HT_,2912,2321,2126,2641,1
NDSR,shrub_,2375,6553,632,440,2
NDSR,SW_,3852,2328,1682,2138,1
NSel,ag_,3642,3236,1428,1694,1
NSel,BA_,5608,2073,1220,1099,1
NSel,D2Edg_,401,194,85,9320,4
NSel,D2Rd_,3100,2419,2114,2367,1
NSel,D2Rp_,2365,6337,766,532,2
NSel,dev_,4679,3350,1322,649,1
NSel,hrb_,1110,247,161,8482,4
NSel,HT_,4514,2114,2940,432,1
NSel,shrub_,7177,1538,781,504,1
NSel,SW_,7847,1333,468,352,1
PLSel,ag_,0,0,0,10000,4
PLSel,BA_,10000,0,0,0,1
PLSel,D2Edg_,0,10000,0,0,2
PLSel,D2Rd_,10000,0,0,0,1
PLSel,D2Rp_,10000,0,0,0,1
PLSel,dev_,10000,0,0,0,1
PLSel,hrb_,10000,0,0,0,1
PLSel,HT_,10000,0,0,0,1
PLSel,shrub_,10000,0,0,0,1
PLSel,SW_,10000,0,0,0,1
