BirdID,Year,Season,Start,End
251,2018,PreNest1,2018-04-20 21:00:43.000,2018-05-13 13:00:09.000
251,2018,Spring.Dispersal,ÿ2018-04-16 09:00:18.000,2018-04-20 21:00:43.000
251,2018,Summer,2018-06-05 11:59:12.000,2018-08-01 05:00:45.000
251,2018,Winter,2018-02-17 15:01:22.000,ÿ2018-04-16 12:00:18.000
251,2019,Winter,2018-12-01 00:00:00.000,2019-03-14 18:03:05.000
258,2018,PreNest1,2018-04-20 20:00:44.000,2018-05-03 17:01:46.000
258,2018,PreNest2,2018-05-03 15:00:13.000,2018-05-17 17:00:11.000
258,2018,Spring.Dispersal,2018-04-17 14:00:46.000,2018-04-21 05:00:44.000
258,2018,Summer,2018-06-06 16:59:43.000,2018-08-01 05:00:45.000
258,2018,Winter,2018-03-20 14:00:23.000,ÿ2018-04-13 13:00:44.000
259,2018,Winter,2018-02-19 17:02:04.000,2018-03-20 14:00:11.000
260,2018,Winter,2018-03-20 16:00:45.000,2018-04-19 11:00:12.000
280,2018,PreNest1,2018-04-16 13:00:12.000,2018-05-05 12:00:43.000
280,2018,PreNest2,2018-05-08 14:00:44.000,ÿ2018-05-24 12:00:43.000
280,2018,PreNest3,2018-06-02 12:59:15.000,2018-07-01 12:59:45.000
280,2018,Spring.Dispersal,2018-04-14 10:01:16.000,2018-04-16 13:00:12.000
280,2018,Winter,2018-02-19 17:01:32.000,2018-04-14 10:01:16.000
280,2019,Winter,2018-12-01 00:00:00.000,2019-03-15 18:00:00.000
286,2018,PreNest1,ÿ2018-04-23 16:01:03.000,2018-05-10 05:01:08.000
286,2018,PreNest2,2018-05-30 10:02:33.000,2018-06-25 13:59:10.000
286,2018,Spring.Dispersal,2018-04-20 11:00:43.000,ÿ2018-04-23 18:01:03.000
286,2018,Summer,2018-07-24 12:00:34.000,2018-08-01 05:00:45.000
286,2018,Winter,2018-03-07 05:00:33.000,2018-04-20 13:00:43.000
286,2019,Winter,2018-12-01 00:00:00.000,2019-02-11 20:02:15.000
354,2018,PreNest1,2018-04-18 10:00:46.000,2018-05-06 23:00:10.000
354,2018,Spring.Dispersal,2018-04-16 15:02:14.000,2018-04-18 11:00:43.000
354,2018,Summer,2018-05-13 12:02:01.000,2018-08-01 05:00:45.000
354,2018,Winter,2018-02-23 16:02:02.000,2018-04-16 17:02:14.000
355,2018,PreNest1,2018-04-17 19:01:08.000,2018-05-03 01:00:13.000
355,2018,Spring.Dispersal,2018-04-16 10:01:13.000,2018-04-17 20:01:02.000
355,2018,Summer,2018-05-20 14:00:14.000,2018-08-01 05:00:45.000
355,2018,Winter,2018-02-23 16:02:33.000,2018-04-16 12:00:43.000
355,2019,Winter,2018-12-01 00:00:00.000,2019-02-20 17:01:46.000
361,2018,PreNest1,2018-04-20 01:00:46.000,2018-05-06 13:01:14.000
361,2018,Spring.Dispersal,ÿ2018-04-18 10:00:44.000,2018-04-21 10:00:46.000
361,2018,Winter,2018-02-23 17:02:52.000,2018-04-19 10:00:44.000
375,2019,PreNest1,2019-04-08 12:00:15.000,2019-05-06 17:00:13.000
375,2019,Spring.Dispersal,2019-03-28 19:00:10.000,2019-04-08 12:00:15.000
375,2019,Summer,2019-06-09 19:00:29.000,2019-08-01 05:00:45.000
375,2019,Winter,2018-12-14 14:01:50.000,2019-03-28 19:00:10.000
387,2019,Winter,2019-01-17 15:01:02.000,2019-03-11 12:00:14.000
393,2019,Winter,ÿ2019-01-17 17:00:44.000,2019-04-15 13:01:06.000
398,2019,PreNest1,2019-04-26 11:00:51.000,2019-06-22 14:00:04.000
398,2019,Spring.Dispersal,2019-04-18 12:01:08.000,ÿ2019-04-28 11:00:51.000
398,2019,Summer,2019-06-22 14:00:04.000,2019-08-01 05:00:45.000
398,2019,Winter,2019-01-26 15:00:33.000,2019-04-20 12:01:08.000
399,2019,Winter,2019-01-26 15:00:34.000,ÿ2019-03-01 17:00:21.000
404,2019,Winter,2019-01-26 15:01:11.000,2019-03-02 08:00:36.000
408,2019,Winter,2019-02-06 17:01:05.000,2019-03-06 05:00:36.000
409,2019,PreNest1,2019-04-25 13:00:06.000,2019-05-11 17:00:34.000
409,2019,Spring.Dispersal,2019-04-20 14:00:04.000,2019-04-26 13:00:06.000
409,2019,Summer,2019-05-25 05:00:34.000,2019-08-01 05:00:45.000
409,2019,Winter,ÿ2019-02-06 17:00:36.000,2019-04-21 14:00:04.000
410,2019,PreNest1,2019-03-23 16:00:35.000,2019-05-13 12:00:10.000
410,2019,Spring.Dispersal,2019-03-19 11:00:04.000,2019-03-23 16:00:35.000
410,2019,Summer,ÿ2019-06-20 13:59:33.000,2019-08-01 05:00:45.000
410,2019,Winter,2019-02-06 17:01:03.000,2019-03-19 11:00:04.000
420,2019,PreNest1,2019-05-01 14:00:04.000,2019-05-14 21:01:05.000
420,2019,Spring.Dispersal,2019-04-25 20:00:19.000,2019-05-01 14:00:04.000
420,2019,Summer,2019-06-03 19:00:08.000,2019-08-01 05:00:45.000
420,2019,Winter,2019-02-07 14:01:08.000,2019-04-25 20:00:19.000
426,2019,PreNest1,2019-04-05 11:00:18.000,2019-05-06 17:00:12.000
426,2019,PreNest2,2019-05-17 05:00:33.000,2019-05-31 14:00:14.000
426,2019,Spring.Dispersal,2019-03-18 14:00:00.000,2019-03-21 12:00:00.000
426,2019,Spring.Dispersal,2019-04-02 22:01:07.000,2019-04-05 11:00:18.000
426,2019,Summer,2019-07-04 14:59:33.000,2019-08-01 05:00:45.000
426,2019,Winter,2019-02-06 12:00:00.000,2019-03-19 14:00:00.000
426,2019,Winter,2019-02-28 13:01:06.000,2019-04-03 22:01:07.000
434,2019,Winter,2019-03-12 12:01:10.000,2019-04-11 15:00:04.000
435,2019,PreNest1,2019-05-03 23:00:04.000,2019-06-02 20:59:12.000
435,2019,Spring.Dispersal,2019-04-29 12:00:05.000,2019-05-03 23:00:04.000
435,2019,Summer,2019-06-27 14:59:36.000,2019-08-01 05:00:45.000
435,2019,Winter,2019-03-12 13:00:33.000,2019-04-30 12:00:05.000
436,2019,PreNest1,2019-03-22 11:00:05.000,2019-06-21 22:59:04.000
436,2019,Spring.Dispersal,2019-03-19 11:00:12.000,2019-03-22 11:00:05.000
436,2019,Summer,2019-06-21 22:59:04.000,2019-08-01 05:00:45.000
436,2019,Winter,2019-03-12 13:01:09.000,2019-03-19 11:00:12.000
444,2019,PreNest1,2019-04-24 05:00:35.000,2019-04-29 18:00:35.000
444,2019,PreNest2,2019-05-11 14:00:44.000,2019-06-04 16:59:34.000
444,2019,Spring.Dispersal,2019-04-18 18:00:03.000,2019-04-24 05:00:35.000
444,2019,Summer,2019-07-09 14:59:13.000,2019-08-01 05:00:45.000
444,2019,Winter,2019-03-14 12:01:10.000,2019-04-18 18:00:03.000
447,2019,PreNest1,2019-04-15 11:00:05.000,2019-05-04 18:00:12.000
447,2019,Spring.Dispersal,2019-04-13 17:01:01.000,2019-04-15 11:00:05.000
447,2019,Winter,2019-03-14 13:00:33.000,2019-04-13 17:01:01.000
833,2019,PreNest1,2019-05-05 17:00:05.000,2019-05-13 16:00:05.000
833,2019,Spring.Dispersal,2019-05-02 10:00:33.000,2019-05-06 17:00:05.000
833,2019,Summer,2019-05-30 16:00:12.000,2019-08-01 05:00:45.000
833,2019,Winter,2019-03-21 14:00:23.000,2019-05-02 10:00:33.000
10376,2018,PreNest1,2018-04-20 13:00:16.000,2018-05-30 18:00:44.000
10376,2018,Spring.Dispersal,2018-04-11 12:00:45.000,2018-04-20 15:00:10.000
10376,2018,Summer,2018-05-31 05:00:45.000,2018-08-01 05:00:45.000
10376,2018,Winter,2018-02-03 20:00:13.000,2018-04-11 12:00:45.000
